manip;HE;conc_mg_L;DO
manip 0517;M6 ;6,75;0,2505
manip 0517;M6 ;6,75;0,2315
manip 0517;M6 ;6,75;0,2255
manip 0517;M6 ;6,75;0,2215
manip 0517;M6 ;13,5;0,2175
manip 0517;M6 ;13,5;0,2155
manip 0517;M6 ;13,5;0,1795
manip 0517;M6 ;13,5;0,1895
manip 0517;M6 ;27;0,176
manip 0517;M6 ;27;0,182
manip 0517;M6 ;27;0,194
manip 0517;M6 ;27;0,148
manip 0517;M6 ;54;0,0085
manip 0517;M6 ;54;0,0075
manip 0517;M6 ;54;0,0065
manip 0517;M6 ;54;0,0195
manip 0517;M6 ;108;0,004
manip 0517;M6 ;108;0,004
manip 0517;M6 ;108;0,004
manip 0517;M6 ;108;0,003
manip 0517;M6 ;216;0,0015
manip 0517;M6 ;216;0,0045
manip 0517;M6 ;216;0,0035
manip 0517;M6 ;216;0,0035
manip 0517;M6 ;432;0,0025
manip 0517;M6 ;432;0,0025
manip 0517;M6 ;432;0,0005
manip 0517;M6 ;432;0,0005
manip 0517;M7;0;0,296
manip 0517;M7;0;0,257
manip 0517;M7;0;0,253
manip 0517;M7;0;0,232
manip 0517;M7;0,4025;0,29
manip 0517;M7;0,4025;0,293
manip 0517;M7;0,4025;0,249
manip 0517;M7;0,4025;0,226
manip 0517;M7;0,805;0,275
manip 0517;M7;0,805;0,235
manip 0517;M7;0,805;0,277
manip 0517;M7;0,805;0,239
manip 0517;M7;1,61;0,245
manip 0517;M7;1,61;0,289
manip 0517;M7;1,61;0,278
manip 0517;M7;1,61;0,242
manip 0517;M7;3,22;0,241
manip 0517;M7;3,22;0,262
manip 0517;M7;3,22;0,294
manip 0517;M7;3,22;0,269
manip 0517;M7;6,44;0,237
manip 0517;M7;6,44;0,259
manip 0517;M7;6,44;0,201
manip 0517;M7;6,44;0,264
manip 0517;M7;12,88;0,2305
manip 0517;M7;12,88;0,2675
manip 0517;M7;12,88;0,2245
manip 0517;M7;12,88;0,2005
manip 0517;M7;25,75;0,2275
manip 0517;M7;25,75;0,2135
manip 0517;M7;25,75;0,1965
manip 0517;M7;25,75;0,1735
manip 0517;M7;51,5;0,03
manip 0517;M7;51,5;0,023
manip 0517;M7;51,5;0,039
manip 0517;M7;51,5;0,084
manip 0517;M7;103;0,003
manip 0517;M7;103;0,002
manip 0517;M7;103;0,003
manip 0517;M7;103;0,002
manip 0517;M7;206;0,0015
manip 0517;M7;206;-0,0035
manip 0517;M7;206;0,0005
manip 0517;M7;206;0,0055
manip 0517;M7;412;-0,003
manip 0517;M7;412;-0,004
manip 0517;M7;412;-0,003
manip 0517;M7;412;-0,009
manip 0517;M8;0;0,237
manip 0517;M8;0;0,232
manip 0517;M8;0;0,251
manip 0517;M8;0;0,249
manip 0517;M8;0,4225;0,2495
manip 0517;M8;0,4225;0,2465
manip 0517;M8;0,4225;0,2105
manip 0517;M8;0,4225;0,2355
manip 0517;M8;0,845;0,234
manip 0517;M8;0,845;0,186
manip 0517;M8;0,845;0,22
manip 0517;M8;0,845;0,196
manip 0517;M8;1,69;0,249
manip 0517;M8;1,69;0,212
manip 0517;M8;1,69;0,22
manip 0517;M8;1,69;0,191
manip 0517;M8;3,38;0,266
manip 0517;M8;3,38;0,208
manip 0517;M8;3,38;0,235
manip 0517;M8;3,38;0,193
manip 0517;M8;6,75;0,198
manip 0517;M8;6,75;0,233
manip 0517;M8;6,75;0,193
manip 0517;M8;6,75;0,178
manip 0517;M8;13,5;0,0705
manip 0517;M8;13,5;0,0655
manip 0517;M8;13,5;0,1055
manip 0517;M8;13,5;0,1015
manip 0517;M8;27;0,015
manip 0517;M8;27;0,026
manip 0517;M8;27;0,033
manip 0517;M8;27;0,014
manip 0517;M8;54;0,0055
manip 0517;M8;54;0,0075
manip 0517;M8;54;0,0035
manip 0517;M8;54;0,0015
manip 0517;M8;108;-0,002
manip 0517;M8;108;0,001
manip 0517;M8;108;0,004
manip 0517;M8;108;-0,006
manip 0517;M8;216;-0,0055
manip 0517;M8;216;-0,0105
manip 0517;M8;216;-0,0005
manip 0517;M8;216;-0,0085
manip 0517;M8;432;-0,016
manip 0517;M8;432;-0,028
manip 0517;M8;432;-0,022
manip 0517;M8;432;-0,023
manip 0517;M9;0;0,2445
manip 0517;M9;0;0,2515
manip 0517;M9;0;0,2365
manip 0517;M9;0;0,2585
manip 0517;M9;0,4025;0,295
manip 0517;M9;0,4025;0,266
manip 0517;M9;0,4025;0,219
manip 0517;M9;0,4025;0,203
